Train,From,To,Train,Table,Train,From,To,Train,Table,
16729/16730,Madurai,Punalur,Exp,21,,Central,,,,
16731/16732,Palakkad,Tiruchendur,Exp,"21,69",17239/17240,Guntur,Visakhapatnam,Simhadri,30,
16733/16734,Rameshwaram,Okha,Exp,"11,31,53, ",17241/17242,Narasapur,Nidadavolu,Link,30,
,,,,"70,71",17243/17244,Guntur,Rayagada,Exp,40,
16751/16752,Chennai Egmore,Rameshwaram,Exp,21,17245/17246,Dharamavaram,Machilipatnam,Exp,7,
16765/16766,Mettupalayam,Tuticorin,Exp,21,17247/17248,Narsapur,Dharamavaram,Exp,7,
16779/16780,Tirupati,Rameshwaram,Exp,21,17249/17250,Tirupati,Kakinada Town,Exp,7,
16787/16788,Tirunelveli,Shri Mata Vaishno,Exp,"8,16,69,86",17251/17252,Kacheguda,Guntur,Exp,71,
,,Devi Katra,,,,,,,,
,,,,,17253/17254,Guntur,Chhatrapati SambhaJi,Exp,71,
16791/16792,Palakkad,Tuticorin,Palaruvi,86,,,Nagar,,,
16811/16812,Mayaladuturai,Salem JN.,Exp,69,17255/17256,Narsapur,Lingampalli,Exp,30,TAG-26
,,,,,19,,,,,
,Train,From,To,Train,Table,Train,From,To,Train,Table
,No.,station,station,Name,No.,No.,station,station,Name,No.
,17257/17258,Vijayawada,Kakinada Port,Exp,"7,30",17649/17650,Hyderabad,Chhatrapati SambhaJi,Exp,53
,17259/17260,Gudur,Vijayawada,Exp,7,,,Nagar,,
,17261/17262,Guntur,Tirupati,Exp,49,17651/17652,Chengalpattu,Kacheguda,Exp,71
,17263/17264,Bhimavaram,Narasapur,Exp,7,17653/17654,Pondicherry,Kacheguda,Exp,71
,17267/17268,Kakinada Port,Visakhapatnam,Exp,7,17655/17656,Pondicherry,Kakinada,Exp,71
,17269/17270,Vijayawada,Narasapur,Exp,7,17659/17660,Secunderbad,Bhadrachalam Road,Exp,30
,17281/17282,Guntur,Narasapur,Exp,30,17661/17662,Kacheguda,Nagarsol,Exp,53
,17301/17302,Mysuru,Belagavi,Exp,19,17663/17664,Raichur,Parbhani,Exp,53
,17303/17304,SSS Hubballi,Sidhanur,Exp,49,17665/17666,H.S. Nanded,Lokmanya Tilak (T),Exp,53
,17307/17308,Mysuru,Bagalkot,Basava,"10,20",17667/17668,H.S. Nanded,Lokmanya Tilak (T),Exp,53
,17309/17310,Yesvantpur,Vasco-de-Gama,Exp,19,17683/17684,Akola,Purna,Exp,53
,17315/17316,Vasco-de-Gama,Velankanni,Exp,1969,17687/17688,Manmad,Dharmabad,Exp,53
,17317/17318,SSS Hubballi,Dadar,Exp,19,17693/17694,Kacheguda,Raichur,Exp,9
,17319/17320,SSS Hubballi,Hyderabad,Exp,"19,10",18003/18004,Howrah,Adra,Exp,87
,17321/17322,Vasco Da Gama,Jasidih,Exp,"5,9,19,36,49",18005/18006,Howrah,Jagdalpur,Sambaleswari,"5,40"
,17323/17324,SSS Hubballi,Banaras,Exp,"6,9,19",18007/18008,Shalimar,Bhanjpur,Simlipal,87
,17327/17328,SSS Hubballi,Kushtagi,Kushtagi,49,18009/18010,Santragachi,Ajmer,Exp,"34,41,72"
,17329/17330,SSS Hubballi,Vijayawada,Exp,49,18011/18012,Howrah,Chakradharpur,Exp,87
,17333/17334,Miraj,Castle Rock,Exp,44,18013/18014,Adra,Bokaro Steel City,Exp,87
,17347/17348,SSS Hubballi,Chitradurg,Exp,19,18019/18020,Jhargram,Dhanbad,Exp,87
,17377/17378,Vijayapura,Mangaluru Central,Exp,19,18021/18022,Kharagpur,Khurda Road,Exp,29
,17391/17392,KSR Bengaluru,Sindhanur,Exp,19,18023/18024,Kharagpur,NSCB Gomoh,Exp,87
,17405/17406,Tirupati,Adilabad,Krishna,71,18027/18028,Kharagpur,Asansol,Exp,87
,17407/17408,Tirupati,Mannargudi,Pamani,21,18029/18030,Lokmanya Tilak (T),Shalimar,Exp,5
,17409/17410,Adilabad,Hazur Sahib Nanded,Exp,53,18033/18034,Howrah,Ghatsila,Exp,87
,17411/17412,Chhatrapati Shivaji,Chhatrapati Shahu,Mahalaxmi,19,18035/18036,Kharagpur,Hatia,Exp,87
,,Maharaj (T),Maharaj (T),,,,,,,
,,,,,,18037/18038,Kharagpur,Jajpur Keonjhar,Exp,29
,17415/17416,Tirupati,Chhatrapati Shahu,Exp,"19,49",,,,,
,,,,,,18043/18044,Howrah,Bhadrak,Exp,29
,,,Maharaj (T),,,,,,,
,,,,,,18045/18046,Shalimar,Charlapalli,East Coast Exp,30
,17417/17418,Tirupati,Sai Nagar Shiridi,Exp,"10,53",,,,,
,,,,,,18047/18048,Shalimar,Vasco da Gama,Exp,"7,49"
,17419/17420,Tirupati,Vasco-da-qama,Exp,49,,,,,
,17421/17422,Tirupati,Kollam,Exp,70,18049/18050,Shalimar,Badampahar,Exp,5
,17423/17424,Tirupati,Chikkamaguluru,Exp,"19,70",18051/18052,Badampahar,Rourkela,Exp,5
,17435/17436,Kacheguda,Kurnool City,Exp,52,18085/18086,Kharagpur,Ranchi,Exp,87
,17479/17480,Puri,Tirupati,Exp,7,18101/18102,Tatanagar,Jammu Tawi,Exp,41
,17481/17482,Bilaspur,Tirupati,Exp,"7,42",18103/18104,Tatanagar,Amritsar,Tatanagar,"12,41"
,17487/17488,Cuddapah,Visakhapatnam,Thirumala,"7,71",18105/18106,Rourkela,Jaynagar,Exp,"36,37"
,17603/17604,Kacheguda,Yelhanka,Exp,52,18107/18108,Rourkela,Jagdalpur,Exp,40
,17605/17606,Kacheguda,Bhagat Ki Kothi,Exp,"9, 23, 53, 54",18109/18110,Tatanagar,NSCB Itwari,Exp,5
,17609/17610,Patna,Purna,Exp,"17,24,53",18111/18112,Tatanagar,Yesvantpur,Exp,"40,71"
,17611/17612,Nanded,Chhatrapati Shivaji,Exp,53,18113/18114,Tatanagar,Bilaspur,Exp,5
,,,Maharaj (T),,,18115/18116,NSCB Gomoh,Chakradharpur,Exp,87
,17614/17613,Nanded,Panvel,Exp,44,18117/18118,Rourkela,Gunupur,Rajya Rani,"7,78"
,17618/17617,Hazur Sahib Nanded,Chhatrapati Shivaji,Tapovan,53,18119/18120,Tatanagar,Jaynagar,Exp,37
,,,Maharaj (T),,,18125/18126,Rourkela,Puri,Exp,32
,17619/17620,H.S. Nanded,Chhatrapati SambhaJi,Exp,53,18175/18176,Hatia,Jharsuguda,Exp,78
,,,Nagar,,,,,,,
,,,,,,18181/18182,Tatanagar,Thawe,Exp,37
,17621/17622,Chhatrapati,Tirupati,Exp,"10,53",,,,,
,,,,,,18183/18184,Tatanagar,Buxar,Exp,36
,,SambhaJi Nagar,,,,,,,,
,,,,,,18185/18186,Tatanagar,Godda,Exp,37
,17625/17626,Kacheguda/,Repalle,Delta Exp,"71,71A",,,,,
,,Vikarabad,,,,18189/18190,Tatanagar,Ernakulam Jn,Exp,40
,17629/17630,Hadapsar*,Hazur Sahib Nanded,Exp,"44,53",18201/18202,Durg,Nautanwa,Exp,"38,81"
,17639/17640,Kacheguda,Akola,Exp,53,18203/18204,Durg,Kanpur Central,Betwa,81
,17641/17642,Kacheguda,Narkher,Exp,53,18205/18206,Durg,Nautanwa,Exp,"38,81"
,17643/17644,Pondicherry,Kakinada Port,Circar,7,18207/18208,Durg,Ajmer,Exp,"72,81"
,17645/17646,Secunderabad,Repalle,Exp,71,18213/18214,Durg,Ajmer,Exp,"72,81"
TAG-26,17647/17648,Hyderabad,Purna,Exp,53,18233/18234,Indore,Bilaspur,Narmada,43
,,,,,,18235/18236,Bhopal,Bilaspur,Exp,43
* Change in Terminal from Pune to Hadapsar w.e.f. 26-01-2026.,,,,,,,,,,
,,,,,20,,,,,
Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
18237/18238,Korba/Bilaspur,Amritsar,Chattisgarh,"42,15",19007/19008,Surat,Bhusaval,Exp,24,
18239/18240,Korba,NSCB Itwari,Exp,"5,42",19011/19012,Valsad,Dahod,Exp,3,
18241/18242,Durg,Ambikapur,Exp,81,19013/19014,Bhusaval,Katni,Exp,24,
18247/18248,Bilaspur,Rewa,Exp,81,19015/19016,Dadar,Porbandar,Saurashtra,11,
18249/18250,Korba,Raipur,Hasdeo Exp.,42,19019/19020,Bandra (T),Haridwar,Exp,"3,75",
18251/18252,Korba,Raipur,Hasdeo Exp.,42,19021/19022,Udhna,Brahmapur,Amrit Bharat Exp,34,
18257/18258,Bilaspur,Chirmiri,Exp,32,19027/19028,Bandra (T),Jammu Tawi,Vivek,"11,23,59,80",
18301/18302,Sambalpur,Rayagada,Exp,40,19031/19032,Ahmedabad,Yog Nagari Rishikesh,Exp,"23,75",
18303/18304,Sambalpur,Puri,Exp,78,19033/19034,Valsad,Ahmedabad,Gujarat Queen,11,
18309/18310,Visakhapatnam,Jammu Tawi,Link,"41,78",19035/19036,Vadodara,Ahmedabad,Exp,11,
18311/18312,Visakhapatnam,Banaras,Exp,"78,41",19037/19038,Barauni,Bandra Terminus,Exp,"3,22,64",
18313/18314,Boudh,Bhubaneshwar New,Exp,78,19045/19046,Surat,Thawe,Taptiganga,6.37,
18409/18410,Howrah,Puri,Sri Jagannath,7,19051/19052,Valsad,Muzaffarpur,Shramik,"22,24",
18413/18414,Paradeep,Puri,Exp,32,19053/19054,Surat,Muzaffarpur,Exp,"3,33",
18415/18416,Barbil,Puri,Exp,32,19091/19092,Bandra Terminus,Gorakhpur,Exp,"3,43,63",
18417/18418,Puri,Gunupur,Exp,7,19101/19102,Virar,Bharuch,Exp,3,
18419/18420,Puri,Jaynagar,Exp,"32,37",19103/19104,Ratlam,Kota,Exp,3,
18421/18422,Puri,Sonepur,Exp,34,19105/19106,Udhna,Bhusaval,Exp,24,
18423/18424,Bhubaneswar,Daspalla,Exp,78,19107/19108,Bhavnagar,Martyr Captain Tushar,Janmabhoomi,"23,45",
18425/18426,Puri,Durg,Exp,"78,34",,,Mahajan,,,
18427/18428,Puri,Anand Vihar(T),Exp,32,19109/19110,Kota,Mathura,Exp,3,
18447/18448,Bhubaneswar,Jagdalpur,Hirakhand,40,19119/19120,Gandhi Nagar,Somnath,Intercity,"11,76",
,,,,,,Capital,,,,
18449/18450,Puri,Patna,Baidyanathdham,32,,,,,,
,,,,,19165/19166,Ahmedabad,Darbhanga,Sabarmati,"22,33",
18451/18452,Hatia,Puri,Tapaswini,78,,,,,,
,,,,,19167/19168,Ahmedabad,Varanasi City,Sabarmati,33,
18463/18464,Bhubaneswar,KSR Bengaluru,Prasanthi,"7,49",,,,,,
,,,,,19201/19202,Bhavnagar,Ayodhya Cantt,Exp,"11, 22, 22A,",
18477/18478,Puri,Yog Nagri ,Utkal,"32,75",,,,,,
,,,,,,,,,"23, 23A, 33",
,,Rishikesh,,,,,,,,
,,,,,19203/19204,Veraval,Bandra Terminus,Exp,11,
18503/18504,Visakhapatnam,Sai Nagar Shirdi,Exp,"30,53",,,,,,
,,,,,19205/19206,Bhavnagar,Mahuva,Exp,11,
18511/18512,Kora put,Visakhapatnam,Exp,40,,,,,,
,,,,,19207/19208,Porbandar,Somnath,Exp,34,
18513/18514,Kirandul,Visakhapatnam,Exp,40,,,,,,
,,,,,19209/19210,Bhavnagar,Okha,Exp,11,
18517/18518,Korba,Visakhapatnam,Exp,42,,,,,,
,,,,,19217/19218,Bandra Terminus,Veraval,Exp,11,
18519/18520,Visakhapatnam,Lokmanya Tilak (T),Exp,"10,30",,,,,,
,,,,,19223/19224,Gandhi Nagar Capital,Jammu Tawi,Exp,"23,45",
18525/18526,Visakhapatnam,Brahmapur,Exp,7,,,,,,
,,,,,19251/19252,Somnath,Okha,Exp,76,
18529/18530,Visakhapatnam,Durg,Exp,"42,42A",,,,,,
,,,,,19255/19256,Surat,Mahuva,S.Fast,11,
18567/18568,Visakhapatnam,Kollam,Exp,"29,86",,,,,,
,,,,,19259/19260,Thiruvanthapuram,Bhavnagar,Exp,"26,76",
18573/18574,Visakhapatnam,Bhagat Ki Kothi,Exp,"42,72,81,28",,,,,,
,,,,,,North,,,,
18601/18602,Tatanagar,Hatia,Exp,87,,,,,,
,,,,,19269/19270,Porbandar,Muzaffarpur,Exp,"22,11,23,64",
18603/18604,Ranchi,Godda,Exp,36,,,,,,
,,,,,19271/19272,Bhavnagar,Haridwar,Exp,"11,59,75",
18609/18610,Ranchi,Lokmanya Tilak (T),Exp,"6,41",,,,,,
,,,,,19301/19302,Dr. Ambedkar Nagar,Yesvantpur,Exp,"8,52,53",
18611/18612,Ranchi,Banaras,Exp,41,,,,,,
,,,,,19303/19304,Indore,Bhopal,Exp,43,
18613/18614,Ranchi,Chopan,Exp,41,,,,,,
,,,,,19305/19306,Dr Ambedkar Nagar,Kamakhya,Exp,"18,35,74",
18615/18616,Howrah,Hatia,Kriya Yoga,87,,,,,,
,,,,,19307/19308,Indore,Una Himachal,Exp,"4,15",
18619/18620,Ranchi,Godda,Exp,36,,,,,,
,,,,,19309/19310,Gandhinagar,Indore,Shanti,33,
18621/18622,Patna,Hatia,Exp,36,,,,,,
,,,,,19313/19314,Indore,Rajendranagar,Exp,35,
18623/18624,Hatia,Islampur,Exp,"36,89",,,,,,
,,,,,19315/19316,Indore,Asarva,Veer Bhumi,"3,54",
18625/18626,Purnea Court,Hatia,Exp,"36,90",,,,Chittaurgarh,,
18627/18628,Howrah,Ranchi,Exp,87,19319/19320,Indore,Veraval,Mahamana Exp.,"11,33",
18629/18630,Ranchi,Gorakhpur,Exp,"36,37",19321/19322,Indore,Rajendranagar,Exp,35,
18631/18632,Ranchi,Chopan,Exp,41,19323/19324,Dr. Ambedkar Nagar,Bhopal,Intercity,43,
18633/18634,Pune,Hatia,Exp,"5,44",19325/19326,Indore,Amritsar,Exp,4,
18635/18636,Ranchi,Sasaram,Exp,41,19327/19328,Ratlam,Udaipur City,Exp,54,
18637/18638,Hatia,SMVT Bengaluru,Exp,"20,40",19333/19334,Indore,Bikaner,Mahamana Exp.,"54,59",
18639/18640,Ranchi,Ara,Exp,36,19337/19338,Indore,Delhi Sarai Rohilla,Exp.,"23,54",
18755/18756,Shahdol,Ambikapur,Exp,81,19339/19340,Dahod,Bhopal,Exp,33,
19001/19002,Virar,Surat,Exp,3,19341/19342,Nagda,Bina,Exp,33,
19003/19004,Bandra (T),Bhusaval,Exp,24,19343/19344,Indore,Nainpur,Exp,8,
19005/19006,Surat,Bhusaval,Exp,24,19345/19346,Ratlam,Bhilwara,Exp,54,TAG-26
,,,,,21,,,,,
,Train,From,To,Train,Table,Train,From,To,Train,Table
,No.,station,station,Name,No.,No.,station,station,Name,No.
,19401/19402,Sabarmati,Lucknow,Exp,"23,79",20176/20175,Agra Cantt.,Banaras,Vande Bharat,1
,19405/19406,Palanpur,Gandhidham,Exp,11,20401/20402,Varanasi,Lucknow,Exp,25
,19409/19410,Sabarmati,Gorakhpur,Exp,"23,79,82",20403/20404,Prayagraj,Lalgarh Jn,Exp,"1,59,80"
,19411/19412,Gandhinagar Capital,Daulatpur Chowk,Exp,"23,27,80",20407/20408,New Delhi,Ranchi,Rajdhani,41
,19413/19414,Kolkata,Rajkot,Exp,"3,43,73",20409/20410,Delhi Cantt.,Bhatinda,Kisan,39
,19415/19416,Sabarmati,Shri Mata Vaishno,Exp,"23,80",20411/20412,Delhi,Saharangpur Jn.,Exp,15
,,,Devi Katra,,,20413/20414,Varanasi,Indore,Kashi Mahakal,35
,19417/19418,Borivali,Ahmedabad,Exp,11,20415/20416,Varanasi,Indore,Kashi Mahakal,35
,19421/19422,Rajkot,Patna,Exp,"3,32",20423/20424,Seoni,Firozpur Cantt.,Patalkot Exp,"2,39"
,19425/19426,Mumbai Central,Nandurbar,Exp,24,20433/20434,Subedarganj,Shri Mata Vaishno,Jammu Mail,"1,16"
,19435/19436,Ahmedabad,Asansol,Exp,"1,2,34",,,Devi Katra,,
,19483/19484,Ahmedabad,Saharsa,Exp,"2,18,34",20451/20452,Sogariya,New Delhi,Exp,3
,19489/19490,Ahmedabad,Gorakhpur,Exp,"3,43,63",20471/20472,Sri Ganganagar,Puri,Exp,"28, 32,72,78"
,19565/19566,Okha,Dehradun,Uttaranchal,"11,23,75",20473/20474,Delhi Sarai Rohilla,Udaipur City,Chetak,"23,54"
,19567/19568,Tuticorin,Okha,Vivek,"31,70",20475/20476,Bikaner,Miraj,Exp,"23,31"
,19571/19572,Rajkot,Porbandar,Exp,11,20481/20482,Bhagat Ki Kothi,Tiruchchirappalli,Exp,"8,21,28"
,19575/19576,Okha,Nathdwara,Exp,"11,54",20483/20484,Bhagat Ki Kothi,Dadar,Exp,"11,23"
,19577/19578,Tirunelveli,Jamnagar,Exp,26,20485/20486,Jodhpur,Sabarmati,Superfast,23
,19601/19602,Udaipur City,New Jalpaiguri,Exp,"54,18, 23",20487/20488,Barmer,Delhi Sarai Rohilla,Malani Exp.,23
,19603/19604,Daurai,Godda,Exp,"23, 36,41,41A",20489/20490,Barmer,Mathura,SF,23
,,,,,",67",20491/20492,Jaisalmer,Sabarmati,Sabarmati Exp,23
,19605/19606,Madar,Udaipur City,Exp,54,20493/20494,Chandigarh,Madurai,Exp,"8,27,69,86"
,19607/19608,Kolkata,Madar Jn.,Exp,"72,73",20495/20496,Jodhpur,Hadapsar,SF,"23, 31"
,19609/19610,Udaipur,Yog Nagari Rishikesh,Exp,"23,54,84",20497/20498,Rameswaram,Firozpur,Humsafar Exp,"8,21,54,77"
,19611/19612,Ajmer,Amritsar (via Bathindal,Exp,80,20501/20502,Agartala,Anand Vihar (T),Tejas Rajdhani,"18,83"
,19613/19614,Ajmer,Amritsar (via Jakhal),Exp,80,20503/20504,Dibrugarh,New Delhi,Rajdhani,"66,18"
,19615/19616,Udaipur,Kamakhya,Kaviguru,"13,54,79",20505/20506,Dibrugarh Town,New Delhi,Dibrugarh Rajdhani,"18,66"
,19617/19618,Madar Jn,Rewari,Exp,23,20507/20508,Sairang,Anand Vihar (T),Rajdhani Exp,"18,18A,83"
,19619/19620,Phulera Jn,Rewari,Exp,23,20601/20602,MGR Chennai Central,Bodinayakanur,Exp,86
,19621/19622,Phulera Jn,Rewari,Exp,23,20605/20606,Chennai Egmore,Tiruchendur,Exp,21
,19623/19624,Madar Jn,Darbhanga,Amrit Bharat,"22,22A,",20607/20608,MGR Chennai Central,Mysuru,Vande Bharat,20
,,,,"23,23A,33",,20623/20624,Ashokapuram,KSR Bengaluru,Malgudi,20
,19665/19666,Khajuraho,Udaipur City,Exp,"23,54,56,79",20625/20626,MGR Chennai Central,Bhagat ki Kothi,Exp,"21, 23, 46"
,19667/19668,Udaipur,Mysuru,Humsafar,"3,19,54",20627/20628,Chennai Egmore,Nagercoil Jn.,Vande Bharat,21
,19669/19670,Udaipur,Patliputra,Humsafar,"3,79",20629/20630,Secunderabad,Thiruvananthapuram,Shabri Exp,"71, 86"
,19701/19702,Delhi Cantt,Jaipur,Sainik Exp,59,,,Central,,
,19711/19712,Jaipur,Bhopal,Exp,"23,43,54",20631/20632,Mangalore Central,Thiruvananthapuram,Vande Bharat,26
,19713/19714,Jaipur,Kurnool City,Exp,"3,8,53",,,Central,,
,19715/19716,Jaipur,Gomti Nagar,Exp,79,20633/20634,Thiruvananthapuram,Kasargod,Vande Bharat,26
,19719/19720,Jaipur,Suratgarh,Exp,28,20635/20636,Chennai Egmore,Kollam,Ananthapuri,21
,19721/19722,Jaipur,Bayana,Exp,3,20641/20642,Bengaluru Cantt,Coimbatore,Vande Bharat,86
,19735/19736,Jaipur,Marwar,Exp,23,20643/20644,Coimbatore,Chennai,Vande Bharat,86
,19801/19802,Sogariya,Danapur,Exp,"17,17A,72",20645/20646,Mangalore,Madgaon,Vande Bharat,26
,19803/19804,Kota,Shri Mata Vaishno,Exp,"3,16",20651/20652,KSR Bengaluru,Talguppa,Intercity,19
,,,Devi Katra,,,20653/20654,Bengaluru,Belagavi,Exp,19
,19807/19808,Kota,Sirsa,Exp,"3,77",20655/20656,Yesvantpur,SSS Hubballi,Exp,19
,19811/19812,Kota,Etawah,Exp,72,20657/20658,SSS Hubballi,Nizamuddin,Exp,9
,19813/19814,Kota,Sirsa,Exp,"3,77",20659/20660,Mysuru,KSR Bengaluru,Rajyarani,20
,19815/19816,Kota,Mandsaur,Exp,"54,72",20661/20662,Bengaluru,Dharwar,Vande Bharat,19
,19817/19818,Ratlam,Agra Fort,Haldighati Exp,"3,77",20663/20664,Mysuru,MGR Chennai Central,Vande Bharat,20
,19819/19820,Vadodara,Kota,Exp,3,20665/20666,Tirunelveli,Chennai Egmore,Vande Bharat,21
,19821/19822,Kota,Asarva,Exp,"54,72",20667/20668,Yesvantpur,Jaipur,Super Fast,"19, 54"
,20101/20102,Nagpur,Secunderabad,Vande Bharat,9,20669/20670,SSS Hubballi,Pune,Vande Bharat,19
,20103/20104,Lokmanya Tilak (T),Gorakhpur,Exp,35,20671/20672,Madurai,Bengaluru Cant.,Vande Bharat,86
,20111/20112,Chhatrapati Shivaji,Madgaon,Konkan Kanya Exp,26,20673/20674,Kolhapur,Pune,Vande Bharat,19
,,Maharaj (T),,,,20675/20676,Belagavi,Mysuru,Super Fast,19
,20151/20152,Hadapsar,Rewa,Exp,"44, 58",20677/20678,Chennai Central,Narasapur,Vande Bharat,"7A,7,8A,8"
,20155/20156,Dr Ambedkar Nagar,New Delhi,Superfast Exp,"3A,4,4A",20679/20680,MGR Chennai Central,SSS Huballi,Silambu Exp,"19, 20"
,20171/20172,Ranikamlapati,Nizamuddin,Vande Bharat,2,20681/20682,Tambaram,Sengottai,Exp,21
TAG-26,20173/20174,Rewa,Ranikamlapati,Vande Bharat,43,20683/20684,Tambaram,Sengottai,Exp,21
,,,,,22,,,,,
Train,From,To,Train,Table,Train,From,To,Train,Table
No.,station,station,Name,No.,No.,station,station,Name,No.
20685/20686,Gandhidham,KSR Bengaluru,Super Fast,"11,19",20927/20928,Palanpur,Bhuj,Exp,11
20687/20688,SSS Hubballi,KSR Bengaluru,Exp,19,20929/20930,Udhna,Banaras,Exp,6
20689/20690,Yesvantpur,Shivamogga Town,Super Fast,19,20931/20932,Thiruvanthapuram,Indore,Exp,"3,26"
20691/20692,Tambaram,Nagercoil,Antyodaya,21,,North,,,
20701/20702,Secunderabad,Tirupati,Vande Bharat,71,20933/20934,Udhna,Danapur,Exp,24
20703/20704,Kacheguda,Yesvantpur,Vande Bharat,9,20935/20936,Gandhidham,Indore,Exp,"3,11"
20705/20706,Huzur Sahib Nanded,Chhatrapati Shivaji,Vande Bharat,53,20937/20938,Porbandar,Delhi Sarai Rohilla,Exp,"11,23"
,,Maharaj (T),,,20939/20940,Sabarmati,Sultanpur,Exp,"23,25"
20707/20708,Secunderabad,Visakhapatnam,Vande Bharat,30,20941/20942,Bandra Terminus,Ghazipur City,Exp,"3,22"
20801/20802,lslampur,New Delhi,Magadh,"1,89",20943/20944,Bandra Terminus,Bhagat Ki Kothi,Humsafar Exp.,"11,23"
20803/20804,Visakhapatnam,Gandhidham,Exp,"8,34",20945/20946,Ekta Nagar,H. Nizamuddin,Exp,3
20805/20806,Visakhapatnam,New Delhi,S.Fast,42,20947/20948,Ahmedabad,Ekta Nagar,Janshatabdi Exp.,11
20807/20808,Visakhapatnam,Amritsar,S.Fast,"15,30,32,78",20949/20950,Ahmedabad,Ekta Nagar,Exp,11
20809/20810,Sambalpur,Hazur Sahib Nanded,NaGayalli,"30,40,53",20951/20952,Okha,Jaipur,Exp,"11,23"
20811/20812,Visakhapatnam,Hazur Sahib Nanded,Exp,"30,53",20953/20954,Chennai Central,Ahmedabad,Exp,"31,10"
20813/20814,Puri,Jodhpur,Exp,"78,5,42,3,28",20957/20958,Indore,New Delhi,Exp,3
20815/20816,Tatanagar,Visakhapatnam,Exp,"7,32",20959/20960,Valsad,Vadnagar,Exp,11
20817/20818,Bhubaneswar,New Delhi,Tejas Rajdhani,"32,78",20961/20962,Udhna,Banaras,Exp,33
20819/20820,Puri,Okha,Exp,"34,46",20963/20964,Sabarmati,Varanasi,SF Exp,"23,25"
20821/20822,Pune,Santragachi,Humsafar,5,20965/20966,Bhavnagar,Sabarmati,Exp,11
20823/20824,Puri,Ajmer,S.Fast,"34,23,78",20967/20968,Porbandar,Secunderabad,Exp,"11,31"
20825/20826,Bilaspur,Nagpur,Vande Bharat,5,20971/20972,Udaipur,Shalimar,Exp,"32,72"
20827/20828,Jabalpur,Santragachi,Humsafar,"5,43",20975/20976,Howrah,Agra Cantt.,Chambal Exp.,65
20829/20830,Durg,Visakhapatnam,Vande Bharat,42,20977/20978,Ajmer,Chandigarh,Vande Bharat,23
20831/20832,Sambalpur,Shalimar,Mahima Gosain,"7,78",20979/20980,Udaipur City,Jaipur,Vande Bharat,54
20833/20834,Visakhapatnam,Secunderabad,Vande Bharat,30,20981/20982,Udaipur City,Agra Cantt.,Vande Bharat,"3,54"
20835/20836,Puri,Rourkela,Vande Bharat,32,20983/20984,Bhuj,Delhi Sarai Rohilla,SF Exp,"11,23"
20837/20838,Bhubaneswar,Junagarh Road,S.Fast,40,20985/20986,Kota,Martyr Captain Tushar,Exp,"3,16"
,,,,,,,Mahajan,,
20839/20840,Ranchi,New Delhi,Ranchi Rajdhani,41,,,,,
,,,,,20987/20988,Udaipur City,Asarva,SF Exp,54
