Train,From,To,Train,Table,Train,From,To,Train,Table,
20841/20842,Bhubaneswar,Visakhapatnam,Vande Bharat,7,,,,,
,,,,,20989/20990,Udaipur City,Chandigarh,SF Exp,"23, 27, 54, 80"
20843/20844,Bilaspur,Bhagat Ki Kothi,Exp,"3,28,42",,,,,
,,,,,21125/21126,Ratlam,Bhind,Exp,33
20845/20846,Bilaspur,Bikaner,Exp,"3,28,42",,,,,
,,,,,21893/21894,Tatanagar,Patna,Vande Bharat,36
20847/20848,Durg,Martyr Captain Tushar,Exp,"4,32,81",,,,,
,,Mahajan,,,21895/21896,Tatanagar,Patna,Vande Bharat,36
20849/20850,Bhubaneswar,Rameshwaram,Exp,"21, 7",21901/21902,Bandra (T),Barmer,SF Exp,"11,23"
20851/20852,Bhubaneswar,Puducherry,Exp,"21, 7",21903/21904,Bandra (T),Bikaner,SF Exp,"11, 23"
20853/20854,Bhubaneswar,Chennai Central,Exp,"21, 7",22101/22102,Lokmanya Tilak (T),Madurai,Exp,"21,70"
20857/20858,Puri,Sainagar Shirdi,S.Fast,"34,44,78",22103/22104,Lokmanya Tilak (T),Ayodhya Cantt,Exp,6
20861/20862,Puri,Ahmedabad,S.Fast,"34,46,78",22105/22106,Chhatrapati Shivaji,Pune,lndrayani,19
20871/20872,Howrah,Rourkela,Vande Bharat,"5,41",,Maharaj (T),,,
20887/20888,Ranchi,Varanasi,Vande Bharat,41,22107/22108,Chhatrapati Shivaji,Latur,Exp,"44,53"
20889/20890,Howrah,Tirupati,Humsafar Exp.,"7,7A",,Maharaj (T),,,
20891/20892,Tatanagar,Brahmapur,Vande Bharat,"7,32",22109/22110,Lokmanya Tilak (T),Balharshah,Exp,"5,8"
20893/20894,Tatanagar,Patna,Vande Bharat,36,22113/22114,Lokmanya Tilak (T),Thiruvanthapuram,Exp,26
20895/20896,Bhubaneswar,Rameswaram,S.Fast,"21,7",,,North,,
20897/20898,Ranchi,Howrah,Vande Bharat,87,22115/22116,Lokmanya Tilak (T),Karmali,Exp,26
20901/20902,Mumbai Central,Gandhinagar Capital,Vande Bharat,11,22117/22118,Pune,Amravati,AC Exp,44
20903/20904,Ekta Nagar,Varanasi,Mahamana,"6,34",22119/22120,Chhatrapati Shivaji,Madgaon,Tejas,26
20905/20906,Ekta Nagar,Rewa,Mahamana,"6,34",,Maharaj (T),,,
20907/20908,Dadar,Bhuj,Exp,11,22121/22122,Lokmanya Tilak (T),Lucknow,AC Exp,35
20909/20910,Thiruvanthpuram,Porbandar,Exp,"26,11",22123/22124,Pune,Ajni,AC Exp,5
,North,,,,,,,,
,,,,,22125/22126,Nagpur,Amritsar,AC Exp,"8,15"
20911/20912,Indore,Nagpur,Vande Bharat,"8,43",,,,,
,,,,,22129/22130,Lokmanya Tilak (T),Ayodhya Cantt,Tulsi Exp,"2,6,47"
20913/20914,Rajkot,Delhi Sarai Rohilla,Exp,"11,23",,,,,
,,,,,22131/22132,Pune,Banaras,Exp,"6,44"
20915/20916,Lingampalli,Indore,Humsafar Exp.,"3,10",,,,,
,,,,,22135/22136,Mysuru,Renigunta,Exp,20
20917/20918,Indore,Puri,Humsafar Exp.,"5,8,78",,,,,
,,,,,22137/22138,Nagpur,Rajkot,Prerna,34
20919/20920,Chennai Central,Ekta Nagar,Exp,"3,10",,,,,
20921/20922,Bandra Terminus,Lucknow Jn.,Exp,"3,79",22139/22140,Pune,Ajni,Humsafar Exp.,5
20923/20924,Tirunelveli,Gandhidham,Humsafar Exp.,26,22141/22142,Pune,Nagpur,Humsafar Exp.,5
20925/20926,Surat,Amravati,Exp,34,,,,,TAG-26
,,,,,23,,,,
,Train,From,To,Train,Table,Train,From,To,Train,Table
,No.,station,station,Name,No.,No.,station,station,Name,No.
,22143/22144,Chhatrapati Shivaji,Bidar,Exp,53,22317/22318,Sealdah,Jammu Tawi,Humsafar,12
,,Maharaj (T),,,22321/22322,Howrah,Siuri,Hool,92,
,22145/22146,Bhopal,Rewa,SF Exp,43,22323/22324,Kolkata,Ghazipur City,Shabd Bhedi,12
,22147/22148,Dadar,Sai Nagar Shirdi,Exp,53,22325/22326,Haldia,Asansol,Intercity,87
,22149/22150,Ernakulam Jn,Pune,Exp,"26,91",,,,,
,,,,,22329/22330,Asansol,Haldia,Exp,87,
,22151/22152,Pune,Kazipet,Exp,"5,9",,,,,
,,,,,22345/22346,Patna,Gomtinagar,Vande Bharat,12,
,22153/22154,Chennai Egmore,Salem,Exp,21,,,,,
,,,,,22347/22348,Patna,Howrah,Vande Bharat,1,
,22155/22156,Kalaburagi,Chhatrapati Shahu ,Exp,10,,,,,
,,,,,22349/22350,Patna,Ranchi,Vande Bharat,36,
,,,Maharaj (T),,,,,,,
,,,,,22351/22352,Saharsa,SMVT Bengaluru,Exp,"17,20",
,22157/22158,Chhatrapati Shivaji,Chennai Egmore,Koynu,10,,,,,
,,Maharaj (T),,,22353/22354,Patna,SMVT Bengaluru,Humsafar Exp.,17,
,22159/22160,Chhatrapati Shivaji,MGR Chennai ,Exp,10,22355/22356,Patliputra,Chandigarh,Exp,88
,,Maharaj (T),Central,,22357/22358,Gaya,Lokmanya Tilak (T),Exp,"5,36",
,22161/22162,Bhopal,Damoh,Rajya Rani,43,22359/22360,Patna,CSMT,Exp,"1,6"
,22163/22164,Bhopal,Khajuraho,Mahamana Exp.,"2,2A",22361/22362,Rajender Nagar,New Delhi,Amrit Bharat,"1,1A"
,22165/22166,Bhopal,Singrauli,Urjadhani,73,22387/22388,Howrah,Dhanbad,Black Diamond,37
,22167/22168,Singrauli,H. Nizamuddin,Urjadhani,"73,56",22401/22402,Delhi Sarai Rohilla,Martyr Captain Tushar,AC,16
,22169/22170,Rani Kamlapati,Santraganchi,Humsafar Exp.,"5,43,43A",,Mahajan,,,
,22171/22172,Pune,Rani Kamalapati,Humsafar Exp.,9,22403/22404,Puducherry,New Delhi,Exp,8
,22173/22174,Jabalpur,Chanda Fort,Exp,58,22405/22406,Bhagalpur,Anand Vihar (T),Garib Rath,1
,22175/22176,Nagpur,Jaipur,Exp,"8,72",22407/22408,Ambikapur,H. Nizamuddin,Exp,32
,22177/22178,Chhatrapati Shivaji,Varanasi,Mahanagri,6,22409/22410,Gaya,Anand Vihar (T),Garib Rath,1
,,Maharaj (T),,,22411/22412,Anand Vihar (T),Naharlagun,Arunachal,"18,62",
,22179/22180,Lokmanya Tilak (T),Chennai,Exp,10,22413/22414,Madgaon,H. Nizamuddin,Rajdhani Exp,"3,26"
,22181/22182,Jabalpur,H. Nizamuddin,Gondwana,56,22415/22416,Varanasi,New Delhi,Vande Bharat,1
,22183/22184,Lokmanya Tilak (T),Ayodhya Cantt,Exp,6,22417/22418,Varanasi,New Delhi,Mahamana,25
,22185/22186,Pune,Ahmedabad,Exp,31,22419/22420,Anand Vihar (T),Ghazipur City,Suhaildev,22
,22187/22188,Rani Kamlapati,Adhartal,Exp,43,22421/22422,Delhi S.Rohilla,Jodhpur,Salasar,59
,22189/22190,Madan Mahal,Rewa,Exp,43,22423/22424,Gorakhour,Amritsar,Exp,13
,22191/22192,Indore,Jabalpur,Exp,43,22425/22426,Ayodhya Cantt,Anand Vihar (T),Vande Bharat,25
,22193/22194,Daund,Gwalior,Exp,"4,91",22427/22428,Anand Vihar (T),Ballia,Brighu Exp,22
,22195/22196,Virangana,Bandra Terminus,Exp,4,22429/22430,Delhi,Pathankot (via ASR),Exp,15
,,Lakshmibai Jhansi,,,22431/22432,Subedarganj,Martyr Captain Tushar,Exp,"16,68",
,22197/22198,Kolkata,Virangana Lakshmibai,Exp,"1, 35",,Mahajan,,,
,,,Jhansi,,22433/22434,Anand Vihar (T),Ghazipur City,Exp,22,
,22199/22200,Gwalior,Balrampur,Exp,"4,22,38",22435/22436,New Delhi,Banaras,Vande Bharat,1
,22201/22202,Sealdah,Puri,Duronto,7,22437/22438,Prayagraj,Anand Vihar (T),Humsafar Exp.,1
,22203/22204,Visakhapatnam,Secunderabad,Duronto,30,22439/22440,New Delhi,Shri Mata Vaishno,Vande Bharat,16
,22207/22208,MGR Chennai,Thiruvananthapuram,AC,86,,Devi Katra,,,
,,Central,,,,,,,,
,,,,,22441/22442,Chitrakut Dham,Kanpur Central,lntercity,1,
,22209/22210,Mumbai Central,H. Nizamuddin,Duronto,3,Karvi,,,,
,22213/22214,Shalimar,Patna,Duronto,1,22443/22444,Kanpur Central,Bandra (T),Exp,"3,82"
,22221/22222,Chhatrapati Shivaji,Nizamuddin,Rajdhani,2,22445/22446,Kanpur Central,Amritsar,Exp,12
,,Maharaj (T),,,,,,,,
,,,,,22447/22448,New Delhi,Amb Andura,Vande Bharat,27,
,22223/22224,Chhatrapati Shivaji,Sainagar Shirdi,Vande Bharat,53,,,,,
,,Maharaj (T),,,22449/22450,New Delhi,Guwahati,Poorvottar S. Kranti,18,
,22225/22226,Chhatrapati Shivaji,Solapur,Vande Bharat,10,22451/22452,Bandra (T),Chandigarh,Exp,"11,23,27"
,,Maharaj (T),,,22453/22454,Lucknow,Meerut City,Rajya Rani,88,
,22227/22228,New Jalpaiguri,Guwahati,Vande Bharat,29,22455/22456,Sai Nagar Shirdi,Kalka,Exp,"2,27"
,22229/22230,Chhatrapati Shivaji,Madgaon,Vande Bharat,26,22457/22458,Anand Vihar,Dehradun,Vande Bharat,75
,,Maharaj (T),,,22459/22460,Anand Vihar,Madhupur,Humsafar,1,
,22231/22232,Kalaburagi,SMVT Bengaluru,Vande Bharat,9,22461/22462,New Delhi,Shri Mata Vaishno,Shri Shakti,16
,22233/22234,New Jalpaiguri,Patna,Vande Bharat,18,,Devi Katra,,,
,22301/22302,Howrah,New Jalpaiguri,Vande Bharat,14,22463/22464,Delhi Sarai Rohilla,Bikaner,Rajasthan S. Kranti,23
,22303/22304,Howrah,Gaya,Vande Bharat,1,22465/22466,Anand Vihar (T),Madhupur Junction,Baba Vaidyanath-,1
,,,,,,,,Dham-Deoghar,,
,22305/22306,Jasidih,SMVT Bengaluru,Exp,"1,40",,,,,
,,,,,22467/22468,Varanasi,Gandhinagar Capital,Exp,"33,35",
,22307/22308,Howrah,Bikaner,Exp,"28,65",,,,,
,,,,,22469/22470,H. Nizamuddin,Khajuraho,Vande Bharat,56,
TAG-26,22309/22310,Howrah,Bhagalpur,Vande Bharat,14,,,,,
,,,,,22471/22472,Bikaner,Delhi Sarai Rohilla,Intercity,59,
,22311/22312,Godda,Lokmanya Tilak (T),Exp,24,,,,,
,,,,,24,,,,,
Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
22473/22474,Bikaner,Bandra (T),Exp,"11,23",22657/22658,Tambaram,Kanniyakumari,Exp,21,
22475/22476,Hisar,Coimbatore,Exp,"23,26,59",22659/22660,Thiruvanthapuram,Yog Nagari Rishikesh,S.Fast,"3,26,75",
22477/22478,Shri Mata Vaishno,New Delhi,Vande Bharat,4,,North,,,,
,Devi Katra,,,,22661/22662,Chennai Egmore,Rameshwaram,Exp,21,
22479/22480,New Delhi,Lohian Khas Junction,Sarvat Da Bhala,16,22663/22664,Tambram,Jodhpur,Exp,"23,46",
22481/22482,Jodhpur,Delhi Sarai Rohilla,Exp,59,22665/22666,KSR Bengaluru,Coimbatore,Uday,86,
22483/22484,Bhagat ki Kothi,Gandhidham,Exp,"11,23",22667/22668,Nagercoil,Coimbatore,Exp,69,
22485/22486,New Delhi,Firozpur,Intercity,"15,16",22669/22670,Ernakulam Jn,Patna,Exp,"17,86",
22487/22488,Amritsar,Delhi,Vande Bharat,4,22671/22672,Chennai Egmore,Madurai,Tejas,21,
22489/22490,Varanasi,Meerut City,Vande Bharat,88,22673/22674,Bhagat Ki Kothi,Mannargudi,Exp,"3,8,21,28",
22497/22498,Sri GangaNagar,Tiruchchirappalli,Humsafar,"11,19,45,69",22675/22676,Chennai Egmore,Tiruchchirappalli,Exp,21,
22499/22500,Deoghar,Varanasi,Vande Bharat,1,22679/22680,Yesvantpur,Hassan,Exp,19,
22501/22502,SMVT Bengaluru,New Tinsukia,SF Exp,"20,29,66,74",22681/22682,Mysuru,MGR Chennai Central,Exp,20,
22503/22504,Kanniyakumari,Dibrugarh,Exp,"29,66,74,86",22683/22684,Yesvantpur,Lucknow,Exp,"17,25,52",
22511/22512,Lokmanya Tilak (T),Kamakhya,Karmabhoomi,"5,14,74",22685/22686,Yesvantpur,Chandigarh,Karnataka Sampark,"9,19,27",
22533/22534,Gorakhpur,Yesvantpur,S.Fast,"9,35",,,,Kranti,,
22535/22536,Banaras,Rameswaram,S.Fast,"17,21",22687/22688,Mysuru,Varanasi,Exp,"6,9",
22537/22538,Gorakhpur,Lokmanya Tilak (T),S.Fast,35,22689/22690,Yesvantpur,Ahmedabad,Exp,31,
22539/22540,Mau Jn.,Anand Vihar (T),S.Fast,"1,63",22691/22692,KSR Bengaluru,H. Nizamuddin,Rajdhani,9,
22541/22542,Banaras,Anand Vihar (T),Garibrath,25,22697/22698,SSS Hubballi,MGR Chennai Central,Exp,"19,20",
22543/22544,Lalkuan,Bandra (T),Exp,"3,55,55A",22701/22702,Visakhapatnam,Guntur,Uday,"30,30A",
22545/22546,Lucknow Jn,Dehradun,Vande Bharat,12,22705/22706,Tirupathi,Jammu Tawi,Humsafar,"9,16,71",
22547/22548,Gwalior,Sabarmati,Sabarmati Exp,"2,23",22707/22708,Visakhapatnam,Tirupati,AC Double Decker,"7,7A",
22549/22550,Gorakhpur,Prayagraj,Vande Bharat,35,22709/22710,Hazur Saheb Nanded,Amb Andaura,Exp,"2,27,53",
22551/22552,Darbhanga,Jalandhar City,Antyodaya,"13,64",22715/22716,Kacheguda,Madurai,Exp,"52,70",
22553/22554,Raxaul,Lokmanya Tilak (T),Antyodaya,"6,90",22717/22718,Secunderabad,Rajkot,Exp,31,
22563/22564,Jaynagar,Udhna,Exp,"24,90",22723/22724,H.S. Nanded,Sriganganagar,Exp,"23,34,53",
22581/22582,Ballia,New Delhi,SF,25,22731/22732,Chhatrapati Shivaji,Hyderabad,Exp,10,
,,,,,,Maharaj (T),,,,
22583/22584,Chhapra,Lokmanya Tilak (T),Antyodaya,"22,35",,,,,,
,,,,,22737/22738,Secunderabad,Hisar,Exp,"23,46,59",
22601/22602,MGR Chennai Central,Sai Nagar Shirdi,Exp,"10,20",,,,,,
,,,,,22801/22802,Visakhapatnam,MGR Chennai Central,Exp,7,
22603/22604,Kharagpur,Villupuram,Exp,7,,,,,,
,,,,,22803/22804,Shalimar,Sambalpur,Exp,"7,78",
22605/22606,Purulia,Tirunelveli,Exp,"7,21,87",,,,,,
,,,,,22805/22806,Bhubaneswar,Anand Vihar (T),(via Sambalpur),"78,41",
22609/22610,Mangaluru Central,Coimbatore,Intercity,86,,,,,,
,,,,,22807/22808,Santragachi,MGR Chennai Central,AC,7,
22611/22612,MGR Chennai Central,New Jalpaiguri,Exp,29,,,,,,
,,,,,22809/22810,Para deep,Visakhapatnam,Exp,30,
22613/22614,Rameswaram,Ayodhya Cantt.,Shraddha-Setu,"12,17,21",,,,,,
,,,,,22811/22812,Bhubaneswar,New Delhi,Tejas Rajdhani,32,
22615/22616,Tirupati,Coimbatore,Intercity,70,,,,,,
,,,,,22815/22816,Bilaspur,Ernakulam Jn,Exp,"86,8,42",
22617/22618,Tirupati,SMVT Bengaluru,Intercity,20,,,,,,
,,,,,22817/22818,Howrah,Mysuru,Exp,"7,20",
22619/22620,Bilaspur,Tirunelveli,Exp,"8,42,86",,,,,,
,,,,,22819/22820,Bhubaneswar New,Visakhapatnam,Intercity,30,
22621/22622,Rameshwaram,Kanniyakumari,Exp,21,,,,,,
,,,,,22823/22824,Bhubaneswar,New Delhi,Tejas Rajdhani,32,
22623/22624,Tambaram,Madurai,Exp,21,,,,,,
,,,,,22825/22826,Shalimar,MGR Chennai Central,Exp,7,
22625/22626,MGR Chennai,KSR Bengaluru,AC Double Decker,20,,,,,,
,Central,,,,22827/22828,Puri,Surat,Exp,"34,78",
22627/22628,Tiruchchirappalli,Thiruvananthapuram,Intercity,21,22829/22830,Bhuj,Shalimar,Exp,"4,32,11",
22629/22630,Dadar,Tirunelveli,Exp,"69,26",22831/22832,Howrah,Yeshwantpur,Exp,"7,49",
22631/22632,Madurai,Bikaner,Anuvrat,"3,8,21,28",22833/22834,Bhubaneswar,SMVT Bengaluru,Humsafar,"7,7A,20",
22633/22634,Thiruvananthapuram,H. Nizamuddin,Exp,"3,26",22835/22836,Shalimar,Puri,Exp,7,
22637/22638,MGR Chennai,Mangaluru Central,West-Coast,86,22837/22838,Hatia,Ernakulam Jn,Dharti Aaba,"40,40A",
,Central,,,,22839/22840,Rourkela,Bhubaneswar,Intercity,78,
22639/22640,MGR Chennai,Alappuzha,Exp,86,22841/22842,Santragachi,Tambaram,Antyodaya,"7,7A",
,Central,,,,22843/22844,Bilaspur,Buxar,Exp,"5,36",
22641/22642,Thiruvananthapuram,Shalimar,Exp,"86,29",22845/22846,Pune,Hatia,Exp,"44, 5",
22643/22644,Ernakulam Jn,Patna,Exp,"86,29",22847/22848,Visakhapatnam,Lokmanya Tilak (T),Exp,"42,5",
22645/22646,Indore,Thiruvanthapuram,Ahilyanagari,"8,86",22849/22850,Shalimar,Secunderabad,Exp,30,
,,North,,,22851/22852,Santragachi,Mangaluru Central,Vivek,"7,86",
22647/22648,Korba,Thiruvanthapuram,Exp,"42,8,86",22853/22854,Shalimar,Visakhapatnam,Exp,7,
,,North,,,22855/22856,Santragachi,Tirupati,Exp,7,
22649/22650,MGR Chennai Central,Erode,Yercaud,86,22857/22858,Santragachi,Anand Vihar (T),Exp,32,
22651/22652,MGR Chennai Central,Palakkad,Exp,"86,69",22859/22860,Puri,MGR Chennai Central,Exp,7,
22653/22654,Thiruvananthapuram,H. Nizamuddin (via,Exp,"3,26",22861/22862,Howrah,Kantabanji,Ispat,5,
,,Kottayam),,,22863/22864,Howrah,SMVT Bengaluru,Exp,29,
22655/22656,Ernakulam Jn,H. Nizamuddin (via,Exp,"3,26",22865/22866,Lokmanya Tilak (T),Puri,Exp,"5,78",
,,Alappuzha),,,22867/22868,Durg,H. Nizamuddin,Humsafar,"32,81",TAG-26
,,,,,25,,,,,
,Train,From,To,Train,Table,Train,From,To,Train,Table
,No.,station,station,Name,No.,No.,station,station,Name,No.
,22869/22870,Visakhapatnam,MGR Chennai Central,Exp,7,22993/22994,Bandra (T),Mahuva,Exp,11
,22871/22872,Bhubaneswar,Tirupati,Exp,7,22995/22996,Delhi,Jodhpur,Mandore,23
,22873/22874,Digha,Visakhapatnam,Exp,7,22997/22998,Jhalawar City,Sri Ganga Nagar,Exp,28
,22877/22878,Howrah,Ernakulam Jn,Antyodaya,"29,86",24203/24204,Varanasi,Lucknow,SF Exp,25
,22879/22880,Bhubaneswar,Tirupati,Exp,7,25013/25014,Jaisalmer,Ramnagar,Corbett Park Link,"23,55"
,22881/22882,Pune,Bhubaneswar,Exp,"10,30",25035/25036,Delhi,Ramnagar,Link Exp,55
,22883/22884,Puri,Yesvantpur,Garib Rath,"7,49",26401/,Shri Mata Vaishno,Sri Nagar,Vande Bharat,16
,22887/22888,Howrah,SMVT Bengaluru,Humsafar,29,26402,Devi Katra,,,
,22889/22890,Digha,Puri,Exp,7,26403/26404,Sri Nagar,Shri Mata Vaishno,Vande Bharat,16
,22891/22892,Howrah,Ranchi (via Tata Nagar),Exp,87,,Devi Katra,,,
,22893/22894,Sai Nagar Shirdi,Howrah,Exp,5,26405/26406,Amritsar,Shri Mata Vaishno,Vande Bharat,"16,13"
,,,,,,,Devi Katra,,,
,22895/22896,Howrah,Puri,Vande Bharat,7,,,,,
,,,,,26461/26462,Delhi,Firozpur Cantt.,Vande Bharat,15,
,22897/22898,Howrah,Digha,Kandari,87,,,,,
,,,,,26101/26102,Ajni,Pune,Vande Bharat,5,
,22901/22902,Bandra (T),Udaipur,Exp,"3,54",,,,,
,,,,,26301/26302,Danapur,Jogbani,Vande Bharat,90,
,22903/22904,Bandra (T),Bhuj,AC,11,,,,,
,,,,,26471/26472,Bikaner,Delhi Cantt,Vande Bharat,59,
,22905/22906,Okha,Shalimar,S.Fast,34,,,,,
,,,,,26481/26482,Jodhpur,Delhi Cantt,Vande Bharat,23,
,22907/22908,Madgaon,Hapa,Exp,26,,,,,
,,,,,26501/26502,Patliputra,Gorakhpur,Vande Bharat,"37, 64",
,22909/22910,Valsad,Puri,Exp,"3,43,78",,,,,
,,,,,26503/26504,Saharanpur,Gomti Nagar,Vande Bharat,"12,38",
,22911/22912,Howrah,Indore,Shipra,65,,,,,
,,,,,26505/26506,Khajuraho,Banaras,Vande Bharat,"2,24,63",
,22913/22914,Bandra (T),Saharsa,Humsafar,24,,,,,
,,,,,26651/26652,KSR Bengluru,Ernakulam Jn,Vande Bharat,86,
,22915/22916,Bandra (T),Hisar,Exp,"11,23,59",,,,,
,,,,,26751/26752,Belagavi,KSR Bengaluru,Vande Bharat,19,
,22917/22918,Bandra (T),Haridwar,Exp,"3,75",,,,,
,,,,,26901/26902,Sabarmati,Veraval,Vande Bharat,11,
,22919/22920,MGR Chennai Central,Ahmedabad,Humsafar,"10,31",,,,,
,,,,,28181/28182,Tatanagar,Katihar,,37,
,22921/22922,Bandra (T),Gorakhpur,Antyodaya,"3,82",,,,,
,,,,,52451/52452,Kalka,Shimla,Shivalik,94,
,22923/22924,Bandra (T),Jamnagar,Humsafar,11,,,,,
,,,,,52453/52454,Kalka,Shimla,,94,
,22925/22926,Okha,Ahmedbad,Vande Bharat,11,,,,,
,,,,,52455/52456,Kalka,Shimla,,94,
,22927/22928,Bandra (T),Ahmedabad,Lokshakti,11,,,,,
,,,,,52457/52458,Kalka,Shimla,,94,
,22929/22930,Dahanu Road,Vadodara,S.Fast,11,,,,,
,,,,,52461/52462,Pathankot Jn.,Jwalamukhi Road,,96,
,22931/22932,Bandra (T),Jaisalmer,Exp,"11,23",,,,,
,,,,,52465/52466,Pathankot Jn.,Baijnath Paprola,,96,
,22933/22934,Bandra (T),Jaipur,Exp,3,,,,,
,,,,,52467/52464,Pathankot Jn.,Baijnath Paprola,,96,
,22935/22936,Bandra (T),Palitana,Exp,"11,76",,,,,
,,,,,52469/52470,Pathankot Jn.,Baijnath Paprola,,96,
,22937/22938,Rajkot,Rewa,Exp,"6,34",,,,,
,,,,,52471/52472,Pathankot Jn.,Joginder Nagar,,96,
,22939/22940,Okha,Bilaspur,Exp,34,,,,,
,,,,,52473/52474,Pathankot Jn.,Joginder Nagar,,96,
,22941/22942,Indore,Martyr Captain Tushar,S.Fast,"3,16",,,,,
,,,Mahajan,,52475/52476,Pathankot Jn.,Baijnath Paprola,,96,
,22943/22944,Daund,Indore,S.Fast,"3,31",52538/52539,New Jalpaiguri,Darjeeling,95,
,22945/22946,Mumbai Central,Okha,Saurashtra,11,52540/52541,Darjeeling,New Jalpaiguri,Passenger,95
,22947/22948,Surat,Bhagalpur,Exp,24,52544,Darjeeling,Ghum,95,
,22949/22950,Bandra (T),Delhi Sarai Rohilla,Exp,"11,23",52590,Darjeeling,Ghum,Joy Ride,95
,22951/22952,Bandra (T),Gandhidham,Exp,11,52591,Darjeeling,Ghum,Joy Ride,95
,22953/22954,Mumbai Central,Ahmedabad,Gujarat S.K.Exp.,11,52592,Darjeeling,Ghum,Joi Ride,95
,22955/22956,Bandra (T),Bhuj,Kutch,11,52593,Darjeeling,Ghum,Joy Ride,95
,22957/22958,Gandhinagar Capital,Veraval,Somnath,"11,76",52594,Darjeeling,Ghum,Joy Ride,95
,22959/22960,Vadodara,Jamnagar,Exp,11,52595,Darjeeling,Ghum,Joy Ride,95
,22961/22962,Mumbai Central,Ahmedabad,Vande Bharat,11,52596,Darjeeling,Ghum,Joy Ride,95
,22963/22964,Bandra (T),Bhavnagar,Exp,11,52597,Darjeeling,Ghum,Joy Ride,95
,22965/22966,Bandra (T),Bhagat Ki Kothi,Exp,"11,23",52598,Darjeeling,Ghum,Joy Ride,95
,22967/22968,Ahamedabad,Prayagraj,Exp,"24,46",52599,Darjeeling,Ghum,Joy Ride,95
,22969/22970,Okha,Banaras,Exp,"3,33,34,65",56136/56137,Udagamandalam,Mettupalayam,97,
,22971/22972,Bandra (T),Patna,Exp,24,56139/56141,Coonoor,Udagamandalam,97,
,22973/22974,Gandhidham,Puri,Exp,34,56140/56138,Coonoor,Udagamandalam,97,
,22975/22976,Bandra (T),Ramnagar,Exp,"3,82",56142/56143,Coonoor,Udagamandalam,97,
,22977/22978,Jaipur,Jodhpur,Exp,28,82501/82502,Lucknow Jn.,New Delhi,Tejas,25
,22981/22982,Kota,Sri Ganga Nagar,,28,82901/82902,Mumbai Central,Ahmedabad,Tejas,11
,22983/22984,Kota,Indore,Intercity,72,94801/94802,Ahmedabad,Bhuj,Namo Bharat ,11
,,,,,,,,Rapid Rail,,
,22985/22986,Udaipur,Delhi Sarai Rohilla,Rajasthan Humsafar,"23,54",,,,,
,,,,,94803/94804,Danapur,Jaynagar,Namo Bharat Rapid,90,
,22987/22988,Ajmer,Agra Fort,Exp,23,,,,,
,,,,,,,,Rail,,
TAG-26,22989/22990,Bandra (T),Mahuva,Exp,11,,,,,
,22991/22992,Valsad,Jodhpur,SF Exp,"23,31",,,,,
,,,,,26,,,,,
